temperatura_lst,vegetacao_ndvi,latitude,longitude
36.46959584000001,0.08099338412284851,-12.984383863956182,-38.460784984642636
36.77209061000002,0.09440697729587555,-12.984383863956182,-38.460515490057404
36.45079672999998,0.16133686900138855,-12.984383863956182,-38.460245995472164
36.77379961999998,0.11607565730810165,-12.984383863956182,-38.45943751171646
38.178605840000046,0.08398227393627167,-12.984383863956182,-38.458359533375514
36.864377149999996,0.3088880181312561,-12.984114369370946,-38.45997650088693
36.85412309000003,0.19293701648712158,-12.984114369370946,-38.4597070063017
36.46788683,0.05725805461406708,-12.984114369370946,-38.45755104961981
37.94276246000004,0.1417195051908493,-12.983844874785712,-38.45889852254599
38.22987613999999,0.13025927543640137,-12.983844874785712,-38.458629027960754
34.24959185,0.1888260543346405,-12.983844874785712,-38.456473071278864
38.21107703000001,0.1010311171412468,-12.983575380200476,-38.45889852254599
37.19592509000006,0.06357826292514801,-12.983575380200476,-38.45809003879028
34.94174090000001,0.11157411336898804,-12.983575380200476,-38.456473071278864
34.83578227999999,0.12593825161457062,-12.983575380200476,-38.45593408210839
35.322850130000006,0.1796862632036209,-12.983575380200476,-38.45566458752316
35.192965370000024,0.08701914548873901,-12.98330588561524,-38.460784984642636
35.750102630000015,0.12517128884792328,-12.98330588561524,-38.460515490057404
38.077774250000004,0.10370798408985138,-12.98330588561524,-38.458629027960754
37.43518648999998,0.20516903698444366,-12.98330588561524,-38.458359533375514
36.74474644999998,0.19072863459587097,-12.98330588561524,-38.45809003879028
35.42368171999999,0.18046222627162933,-12.98330588561524,-38.45782054420504
34.734950690000005,0.16906127333641052,-12.98330588561524,-38.45701206044934
35.78428283000005,0.1367189735174179,-12.98330588561524,-38.45566458752316
38.17006078999998,0.13550810515880585,-12.983036391030003,-38.45943751171646
34.570885729999986,0.20028692483901978,-12.983036391030003,-38.45755104961981
34.21541165000002,0.17885787785053253,-12.983036391030003,-38.45728155503457
36.56188238000004,0.09038249403238297,-12.982766896444767,-38.466983360103065
35.78257382000004,0.15234574675559998,-12.982766896444767,-38.46617487634735
36.95666369000003,0.17010629177093506,-12.982766896444767,-38.45997650088693
36.035507300000006,0.237469881772995,-12.982766896444767,-38.45566458752316
36.36705524000001,0.09817923605442047,-12.982766896444767,-38.45485610376745
36.587517530000014,0.1301535665988922,-12.982766896444767,-38.454586609182215
36.45079672999998,0.09289052337408066,-12.982497401859531,-38.46779184385877
35.76377471000001,0.2087482213973999,-12.982497401859531,-38.460784984642636
34.553795630000025,0.07942132651805878,-12.982497401859531,-38.4567425658641
35.555275489999985,0.08017325401306152,-12.982497401859531,-38.4537781254265
35.444189840000035,0.06470320373773575,-12.982497401859531,-38.45350863084127
36.172228099999984,0.09362490475177765,-12.982227907274297,-38.46779184385877
36.54991931000001,0.08441365510225296,-12.982227907274297,-38.466713865517825
37.124146670000016,0.08243978023529053,-12.982227907274297,-38.458359533375514
34.60335692000001,0.07759469747543335,-12.982227907274297,-38.45728155503457
34.899015650000024,0.07508843392133713,-12.982227907274297,-38.45350863084127
36.03892532000003,0.18506796658039093,-12.98195841268906,-38.46779184385877
37.37537114000003,0.10591604560613632,-12.98195841268906,-38.466713865517825
37.37537114000003,0.10591604560613632,-12.98195841268906,-38.46644437093259
39.23477402000003,0.024595802649855614,-12.98195841268906,-38.462940941324526
38.92886123000005,0.04602073132991791,-12.98195841268906,-38.46267144673929
36.734492390000014,0.3064299523830414,-12.98195841268906,-38.460784984642636
37.59241541000006,0.15245415270328522,-12.98195841268906,-38.458359533375514
35.93296670000001,0.05679113417863846,-12.98195841268906,-38.45512559835269
35.60483678000003,0.12343447655439377,-12.98195841268906,-38.454586609182215
35.16049418,0.10846038162708282,-12.98195841268906,-38.45404762001174
35.43222677000006,0.08251939713954926,-12.98195841268906,-38.4537781254265
35.071625659999995,0.16457082331180573,-12.98195841268906,-38.452700147085565
37.568489269999986,0.050356362015008926,-12.981688918103824,-38.46536639259165
35.447607860000005,0.04767966642975807,-12.981688918103824,-38.463479930495
38.72890705999998,0.014514653012156487,-12.981688918103824,-38.462940941324526
36.82336091000002,0.2150445282459259,-12.981688918103824,-38.460784984642636
36.502067030000035,0.08612469583749771,-12.981688918103824,-38.4597070063017
37.17370796,0.12197467684745789,-12.981688918103824,-38.458629027960754
36.40807147999999,0.18027746677398682,-12.981419423518588,-38.4672528546883
37.08313042999998,0.15346118807792664,-12.981419423518588,-38.466983360103065
37.90858226,0.07576891779899597,-12.981419423518588,-38.462940941324526
37.407842329999994,0.19563953578472137,-12.981419423518588,-38.46186296298358
37.223269250000044,0.10068558156490326,-12.981419423518588,-38.460515490057404
36.60802565000006,0.1692851036787033,-12.981419423518588,-38.45997650088693
37.45398560000001,0.07446696609258652,-12.981419423518588,-38.45889852254599
37.13098271000001,0.2997410297393799,-12.981419423518588,-38.458359533375514
